repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status,api_status,code_review_score,has_code_of_conduct,has_contributing,has_issue_template,has_license,has_pull_request_template,has_readme,health_percentage,maintained_score,overall_score,median_issue_response_days,median_pr_review_days,total_commits,unique_contributors,forks_count,network_count,stars_count,status,watchers_count,bus_factor,contributor_diversity_gini,num_contributors
anudeepND/whitelist,anudeepND,whitelist,4362,Python,2024-03-19T11:10:06Z,True,non_sustainable,success,4.0,False,False,False,True,False,True,42,0.0,3.2,0.2916666666666666,,,,290,290,4362,success,121,1.0,0.8465,15
openai/universe,openai,universe,7518,Python,2018-04-05T18:58:15Z,True,non_sustainable,success,0.0,False,False,True,True,False,True,37,0.0,2.6,8.34537037037037,,,,960,960,7518,success,530,5.0,0.6884,23
monkeytypegame/monkeytype,monkeytypegame,monkeytype,322,TypeScript,2025-12-24T13:34:04Z,False,sustainable,success,,True,True,False,True,True,True,87,,,0.5833333333333333,0.9166666666666666,78055.0,5.0,2949,2949,19095,success,62,2.0,0.9198,300
DIYgod/RSSHub,DIYgod,RSSHub,401,TypeScript,2025-12-26T02:07:02Z,False,sustainable,success,8.0,True,True,False,True,True,True,100,10.0,6.2,0.0,0.0416666666666666,623804.0,7.0,8909,8909,40722,success,366,22.0,0.8355,300
pmndrs/zustand,pmndrs,zustand,859,TypeScript,2025-12-21T00:24:43Z,False,sustainable,success,3.0,False,True,False,True,True,True,62,10.0,5.5,0.0,0.0833333333333333,1372.0,3.0,1904,1904,56282,success,180,56.0,0.7347,300
trpc/trpc,trpc,trpc,525,TypeScript,2025-12-23T16:13:04Z,False,sustainable,success,7.0,False,True,False,True,True,True,75,10.0,5.9,0.6666666666666666,0.0,161853.0,14.0,1454,1454,39207,success,88,4.0,0.9079,300
xyflow/xyflow,xyflow,xyflow,324,TypeScript,2025-12-04T13:37:52Z,False,sustainable,success,,True,True,False,True,False,True,75,,,0.5,0.0833333333333333,66636.0,6.0,2249,2249,34461,success,130,3.0,0.9518,121
Nutlope/aicommits,Nutlope,aicommits,236,TypeScript,2025-12-17T13:45:58Z,False,sustainable,success,,False,True,False,True,False,True,57,,,1.4166666666666667,5.0,3.0,1.0,455,455,8783,success,30,3.0,0.798,25
dream-num/univer,dream-num,univer,286,TypeScript,2025-12-26T06:25:10Z,False,sustainable,success,,True,True,False,True,True,True,100,,,0.0,0.0833333333333333,194119.0,20.0,1066,1066,11983,success,88,8.0,0.8361,58
withastro/astro,withastro,astro,941,TypeScript,2025-12-25T20:31:45Z,False,sustainable,success,,True,True,False,True,True,True,100,,,0.2083333333333333,0.0416666666666666,608055.0,29.0,3043,3043,55115,success,197,14.0,0.8954,300
