has_code_of_conduct,has_contributing,has_license,has_readme,has_issue_template,has_pull_request_template,health_percentage,api_status,repo_name,owner,repo,overall_score,maintained_score,code_review_score
False,False,True,True,False,False,37,success,vanila-io/wireflow,vanila-io,wireflow,2.8,0.0,7.0
True,True,True,True,False,True,87,success,serverless/serverless,serverless,serverless,6.1,3.0,7.0
False,True,True,True,False,False,71,success,denysdovhan/wtfjs,denysdovhan,wtfjs,3.8,0.0,7.0
False,False,True,True,False,False,57,success,be5invis/Iosevka,be5invis,Iosevka,4.2,10.0,3.0
False,False,True,True,False,False,42,success,nalgeon/codapi-js,nalgeon,codapi-js,,,
False,False,True,True,False,False,37,success,szimek/sharedrop,szimek,sharedrop,,,
True,True,True,True,False,False,85,success,keshavgbpecdelhi/Web-Development,keshavgbpecdelhi,Web-Development,,,
False,True,True,True,False,True,75,success,sveltejs/kit,sveltejs,kit,,,
False,False,False,True,False,False,28,success,Z-Siqi/Clash-for-Windows_Chinese,Z-Siqi,Clash-for-Windows_Chinese,,,
True,True,True,True,False,False,100,success,ToolJet/ToolJet,ToolJet,ToolJet,,,
False,False,True,True,False,False,42,success,ezshine/AwesomeSites,ezshine,AwesomeSites,,,
True,True,True,True,True,False,87,success,gchq/CyberChef,gchq,CyberChef,4.6,0.0,8.0
False,True,True,True,False,False,57,success,SocialSisterYi/bilibili-API-collect,SocialSisterYi,bilibili-API-collect,5.9,8.0,8.0
False,False,False,True,False,False,28,success,chokcoco/iCSS,chokcoco,iCSS,,,
False,False,True,True,False,False,57,success,blackmatrix7/ios_rule_script,blackmatrix7,ios_rule_script,,,
False,True,True,True,False,False,71,success,iamkun/dayjs,iamkun,dayjs,4.9,10.0,4.0
False,False,True,True,False,True,50,success,goabstract/Awesome-Design-Tools,goabstract,Awesome-Design-Tools,3.0,0.0,10.0
False,False,False,True,False,False,28,success,isno/theByteBook,isno,theByteBook,,,
False,False,True,True,False,False,37,success,LiteLoaderQQNT/LiteLoaderQQNT,LiteLoaderQQNT,LiteLoaderQQNT,,,
True,True,True,True,False,False,75,success,mozilla/pdf.js,mozilla,pdf.js,8.0,10.0,8.0
False,False,True,True,False,False,42,success,jackhawks/rectg,jackhawks,rectg,,,
False,False,False,True,False,False,28,success,2hacc/TVBox,2hacc,TVBox,,,
False,False,True,True,False,False,37,success,xenova/transformers.js,xenova,transformers.js,,,
False,False,False,True,False,False,25,success,eip-work/kuboard-press,eip-work,kuboard-press,,,
False,True,True,True,False,False,57,success,gorhill/uBlock,gorhill,uBlock,4.4,10.0,0.0
False,False,False,True,False,False,28,success,gaotianliuyun/gao,gaotianliuyun,gao,,,
True,True,True,True,False,True,87,success,facebook/stylex,facebook,stylex,,,
False,False,True,True,True,False,42,success,NaiboWang/EasySpider,NaiboWang,EasySpider,,,
