repo_name,stars
LazyVim/LazyVim,529
airbnb/javascript,528
appwrite/appwrite,528
calcom/cal.com,528
llvm/llvm-project,527
trpc/trpc,525
karpathy/minGPT,525
w-okada/voice-changer,525
huiyadanli/RevokeMsgPatcher,524
mpv-player/mpv,524
zclzone/vue-naive-admin,524
CorentinTh/it-tools,523
baaivision/Emu,522
slint-ui/slint,522
FlagAlpha/Llama2-Chinese,519
golang-standards/project-layout,518
mayuki/Cocona,517
bentoml/OpenLLM,517
HuskyDG/magisk-files,517
PKUanonym/REKCARC-TSC-UHT,517
odoo/odoo,515
angular/angular,515
qdrant/qdrant,515
xx025/carrot,515
xinntao/Real-ESRGAN,513
tldraw/make-real,513
AdguardTeam/AdGuardHome,512
huggingface/optimum-nvidia,510
starship/starship,509
ant-design/ant-design,509
jepsen-io/maelstrom,509
rough-stuff/rough-notation,509
LTH14/rcg,509
qbittorrent/qBittorrent,508
miketromba/highest-paying-software-companies,507
LSPosed/LSPosed,505
wilsonfreitas/awesome-quant,505
epfLLM/meditron,505
hunar4321/particle-life,504
abetlen/llama-cpp-python,504
bricks-cloud/BricksLLM,503
jackhawks/rectg,502
straight-tamago/misaka,502
rcmaehl/MSEdgeRedirect,502
Yuliang-Liu/Monkey,502
cpacker/MemGPT,500
mifi/lossless-cut,500
eza-community/eza,499
siyuan-note/siyuan,499
outline/outline,499
chai-research/chaiverse,498
QSCTech/zju-icicles,498
SYSTRAN/faster-whisper,497
netdata/netdata,496
koekeishiya/yabai,496
deepinsight/insightface,495
NVIDIA/TensorRT-LLM,495
chaseSpace/k8s-tutorial-cn,494
waydabber/BetterDisplay,494
bradtraversy/50projects50days,492
sindresorhus/awesome-nodejs,491
coder/code-server,491
chongzhou96/EdgeSAM,491
XTLS/Xray-core,490
MHSanaei/3x-ui,489
minio/minio,488
reworkd/AgentGPT,488
SafeBreach-Labs/PoolParty,488
apernet/hysteria,487
lecepin/WeChatVideoDownloader,487
paul-gauthier/aider,485
elifgazioglu/doyouwannagooutwithme,484
CorentinJ/Real-Time-Voice-Cloning,484
verida/verida-js,484
ClickHouse/ClickHouse,483
WuKongOpenSource/Wukong_KnowledgeBase,483
Z4nzu/hackingtool,483
hashicorp/terraform,482
ekzhang/sshx,481
ngosang/trackerslist,480
Universidade-Livre/ciencia-da-computacao,480
wenge-research/YAYI2,478
MetaCubeX/ClashMetaForAndroid,478
NvChad/NvChad,477
SylarLong/iztro,477
GaiZhenbiao/ChuanhuChatGPT,477
lstprjct/IDM-Activation-Script,477
Yanyutin753/PandoraNext-TokensTool,476
chinesehuazhou/python-weekly,476
continuedev/continue,475
cg123/mergekit,475
primefaces/primevue,475
bytedance/ImageDream,475
karpathy/llama2.c,475
go-gitea/gitea,474
hua1995116/indiehackers-steps,474
sharkdp/fd,474
nextauthjs/next-auth,474
doocs/leetcode,474
josephmisiti/awesome-machine-learning,474
jesseduffield/lazydocker,473
Unstructured-IO/unstructured,472
netease-youdao/EmotiVoice,470
warpdotdev/Warp,470
Asabeneh/30-Days-Of-JavaScript,470
explodinggradients/ragas,470
outlines-dev/outlines,470
sharkdp/bat,470
gkd-kit/subscription,469
vanjs-org/van,469
aseprite/aseprite,469
zhongyang219/TrafficMonitor,468
myshell-ai/OpenVoice,468
iluwatar/java-design-patterns,467
be5invis/Iosevka,467
xiaojieonly/Ehviewer_CN_SXJ,467
XIU2/CloudflareSpeedTest,467
zulip/zulip,466
zijie0/HumanSystemOptimization,466
spring-projects/spring-boot,465
jdx/rtx,465
bionic-gpt/bionic-gpt,465
NginxProxyManager/nginx-proxy-manager,465
luosiallen/latent-consistency-model,464
xiaolai/everyone-can-use-english,464
WuKongOpenSource/Wukong_ProjectManagement,464
wasp-lang/wasp,464
xxlong0/Wonder3D,463
wez/wezterm,462
bradtraversy/design-resources-for-developers,462
aidenybai/million,462
babysor/MockingBird,461
microsoft/terminal,459
spacedriveapp/spacedrive,459
ashishps1/awesome-low-low-design,458
liguodongiot/llm-action,458
DevxStudio/Phoenix-Clipper-Malware,458
you-dont-need/You-Dont-Need-Lodash-Underscore,458
twbs/bootstrap,457
vernesong/OpenClash,456
rclone/rclone,455
deepseek-ai/DeepSeek-Coder,455
tachiyomiorg/tachiyomi,455
jianchang512/pyvideotrans,454
plasmicapp/plasmic,454
aiboboxx/clashfree,453
grafana/grafana,453
lean-dojo/LeanCopilot,453
openpilot-hub/devpilot-intellij,453
google-deepmind/funsearch,452
SoftFever/OrcaSlicer,452
utmapp/UTM,452
Totodore/socketioxide,451
redis/redis,451
mtdvio/every-programmer-should-know,451
janhq/jan,450
assafelovic/gpt-researcher,450
radishes-music/radishes,450
pyenv/pyenv,449
atomicals/atomicals-js,448
m3y54m/Embedded-Engineering-Roadmap,447
ant-design/ant-design-web3,447
LeCoupa/awesome-cheatsheets,446
CircleRadon/Osprey,445
koodo-reader/koodo-reader,445
ThePrimeagen/harpoon,445
pathwaycom/pathway,443
etcd-io/etcd,442
Kong/insomnia,441
ProjectDonetsk/Donetsk,441
stanford-futuredata/megablocks,439
zellij-org/zellij,439
mattermost/focalboard,438
YunaiV/ruoyi-vue-pro,438
files-community/Files,438
marktext/marktext,437
srush/GPU-Puzzles,437
leptos-rs/leptos,437
ansible/ansible,437
sdg-1/consulting-handbook,436
zadam/trilium,436
chroma-core/chroma,436
qianguyihao/blog-list,436
h2oai/h2ogpt,434
v2fly/v2ray-core,434
WerWolv/ImHex,434
KwaiKEG/KwaiAgents,434
PostHog/posthog,433
friuns2/BlackFriday-GPTs-Prompts,432
tokio-rs/tokio,431
microsoft/Data-Science-For-Beginners,431
233boy/v2ray,430
PromtEngineer/localGPT,430
idurar/idurar-erp-crm,430
coder2gwy/coder2gwy,430
EthicalML/awesome-production-machine-learning,429
emilkowalski/sonner,429
facebookresearch/faiss,429
dubinc/dub,428
rough-stuff/rough,428
iperov/DeepFaceLab,427
immersive-translate/immersive-translate,427
filebrowser/filebrowser,427
adobe/react-spectrum,427
mouredev/python-web,427
agalwood/Motrix,426
postgresml/postgresml,426
axios/axios,426
SpotX-Official/SpotX,425
nvbn/thefuck,424
Pennyw0rth/NetExec,424
udlbook/udlbook,424
Mikubill/sd-webui-controlnet,424
XIU2/TrackersListCollection,423
allenai/papermage,422
kuafuai/DevOpsGPT,422
jackfrued/Python-Core-50-Courses,421
DropbaseHQ/dropbase,421
flipperdevices/flipperzero-firmware,420
openobserve/openobserve,420
PanJiaChen/vue-element-admin,420
Johnshall/Shadowrocket-ADBlock-Rules-Forever,419
invoke-ai/InvokeAI,419
prometheus/prometheus,419
wgh136/PicaComic,418
TanStack/query,417
tiimgreen/github-cheat-sheet,417
GhostTroops/scan4all,417
microsoft/monaco-editor,415
dkhamsing/open-source-ios-apps,415
surrealdb/surrealdb,415
nushell/nushell,415
cosmtrek/air,415
ks233/ja-learner,414
Nutlope/roomGPT,414
ray-project/ray,413
ggerganov/ggml,413
KurtBestor/Hitomi-Downloader,413
Cyfrin/security-and-auditing-full-course-s23,413
sczhou/CodeFormer,412
OwshenNetwork/genesis,412
react-hook-form/react-hook-form,411
pgvector/pgvector,411
kaixindelele/ChatPaper,411
Anduin2017/HowToCook,411
scikit-learn/scikit-learn,410
WZMIAOMIAO/deep-learning-for-image-processing,409
florestefano1975/comfyui-portrait-master,409
pjlab-sys4nlp/llama-moe,408
google-deepmind/materials_discovery,408
google/jax,407
tonsky/FiraCode,407
devos50/qemu-ios,406
SeleniumHQ/selenium,406
GitHubDaily/GitHubDaily,405
MustardChef/WSABuilds,405
tiangolo/sqlmodel,404
docusealco/docuseal,404
BeyondDimension/SteamTools,404
Sangwan5688/BlackHole,404
Atlas-OS/Atlas,403
skylot/jadx,403
logspace-ai/langflow,403
iv-org/invidious,403
Mozilla-Ocho/Memory-Cache,403
traefik/traefik,402
ReVanced/revanced-manager,402
3Kmfi6HP/EDtunnel,401
RealKai42/qwerty-learner,401
openai/triton,401
DIYgod/RSSHub,401
huggingface/pytorch-image-models,399
codex-team/editor.js,399
OpenTalker/video-retalking,399
